"SampleLeft,","LeftBump,","RightBump,","LeftSpd,",RightSpd
0,1.0,0.27,0.39,0.43
1,1.0,0.2,0.22,0.22
2,-0.6,0.0,0.36,0.39
3,0.6,0.2,0.19,0.3
4,1.0,0.33,0.33,0.39
5,1.0,0.47,0.14,0.19
6,0.6,0.27,0.29,0.29
7,1.0,1.0,0.12,0.2
8,1.0,1.0,0.19,0.17
9,1.0,1.0,0.28,0.34
10,1.0,1.0,0.46,0.51
11,1.0,1.0,0.5,0.5
12,1.0,1.0,0.51,0.48
13,1.0,1.0,0.49,0.51
14,1.4,1.0,0.56,0.52
15,1.0,1.0,0.53,0.43
16,1.0,1.0,0.51,0.5
17,1.0,1.0,0.51,0.47
18,1.0,1.0,0.52,0.53
19,1.0,1.0,0.52,0.56
20,1.0,1.0,0.47,0.5
21,1.2,1.0,0.48,0.48
22,1.0,1.0,0.49,0.49
23,1.0,1.0,0.49,0.49
24,1.0,1.0,0.48,0.47
25,1.0,1.0,0.48,0.48
26,1.0,1.0,0.52,0.49
27,1.0,1.0,0.48,0.48
28,1.0,1.0,0.51,0.52
29,1.0,1.0,0.52,0.55
30,1.0,1.0,0.49,0.46
31,1.0,1.0,0.49,0.51
32,1.0,1.0,0.49,0.55
33,1.0,1.0,0.52,0.49
34,0.8,1.0,0.49,0.5
35,1.0,1.0,0.4,0.38
36,1.0,1.0,0.51,0.51
37,1.0,1.0,0.53,0.53
38,1.0,1.0,0.52,0.5
39,1.0,1.0,0.52,0.52
40,1.0,1.0,0.52,0.49
41,1.0,1.0,0.49,0.49
42,1.0,1.0,0.52,0.56
43,1.0,1.0,0.49,0.53
44,1.0,1.0,0.49,0.49
45,1.0,1.0,0.49,0.49
46,1.0,1.0,0.46,0.47
47,1.0,1.0,0.57,0.57
48,1.0,1.0,0.48,0.48
49,1.0,1.0,0.48,0.46
50,1.0,1.0,0.49,0.51
51,1.0,1.0,0.52,0.51
52,1.0,1.0,0.49,0.46
53,1.0,1.0,0.48,0.48
54,1.0,1.0,0.47,0.45
55,1.0,1.0,0.44,0.41
56,1.0,1.0,0.49,0.49
57,1.0,1.0,0.49,0.52
58,1.0,1.0,0.53,0.52
59,1.0,1.0,0.52,0.52
60,1.0,1.0,0.49,0.52
61,1.0,1.0,0.51,0.49
62,1.0,1.0,0.51,0.51
63,1.0,1.0,0.5,0.51
64,1.0,1.0,0.49,0.5
65,1.0,1.0,0.48,0.48
66,1.0,1.0,0.49,0.49
67,1.0,1.0,0.47,0.5
68,1.0,1.0,0.51,0.52
69,1.0,1.0,0.52,0.52
70,1.0,1.0,0.53,0.52
71,1.0,1.0,0.52,0.52
72,1.0,1.0,0.48,0.49
73,1.0,1.0,0.48,0.51
74,1.0,1.0,0.51,0.51
75,1.0,1.0,0.48,0.51
76,1.0,1.0,0.48,0.49
77,1.0,1.0,0.52,0.51
78,1.0,1.0,0.45,0.46
79,1.0,1.0,0.48,0.48
80,1.0,1.0,0.49,0.49
81,1.0,1.0,0.51,0.48
82,1.0,1.0,0.55,0.51
83,1.0,1.0,0.52,0.52
84,1.0,1.0,0.52,0.48
85,1.0,1.0,0.51,0.51
86,1.0,1.0,0.48,0.45
87,1.0,1.0,0.51,0.51
88,1.0,1.0,0.55,0.52
89,1.0,1.0,0.46,0.49
90,1.0,1.0,0.48,0.48
91,1.0,1.0,0.51,0.51
92,1.0,1.0,0.49,0.52
93,1.0,1.0,0.56,0.57
94,1.0,1.0,0.53,0.47
95,1.0,1.0,0.53,0.47
96,1.0,1.0,0.52,0.55
97,1.0,1.0,0.51,0.48
98,1.0,1.0,0.49,0.48
99,0.0,0.0,0.0,0.0
