"SampleLeft,","LeftBump,","RightBump,","LeftSpd,",RightSpd
0,0.4,0.31,0.38,0.35
1,1.0,1.0,0.53,0.5
2,0.53,0.56,0.52,0.54
3,0.87,1.0,0.54,0.48
4,1.0,1.0,0.45,0.49
5,0.67,1.0,0.52,0.5
6,1.0,1.0,0.53,0.49
7,0.87,1.0,0.48,0.48
8,1.0,1.0,0.48,0.49
9,1.0,1.0,0.49,0.51
10,1.0,1.0,0.51,0.51
11,1.0,1.0,0.5,0.54
12,1.0,1.0,0.54,0.52
13,1.0,1.0,0.49,0.5
14,1.0,1.0,0.5,0.5
15,1.0,1.0,0.51,0.48
16,1.0,1.0,0.45,0.44
17,1.0,1.0,0.51,0.49
18,1.0,1.0,0.51,0.52
19,1.0,1.0,0.45,0.48
20,1.0,1.0,0.5,0.48
21,1.0,1.0,0.52,0.49
22,1.0,1.0,0.52,0.53
23,0.87,1.0,0.51,0.51
24,1.07,1.0,0.48,0.48
25,1.0,1.0,0.48,0.48
26,1.0,1.0,0.48,0.51
27,1.0,1.0,0.54,0.51
28,1.0,1.0,0.51,0.48
29,1.0,1.0,0.54,0.52
30,1.0,1.0,0.54,0.54
31,1.0,1.0,0.48,0.48
32,0.87,1.0,0.49,0.51
33,0.87,1.0,0.48,0.48
34,1.0,1.0,0.48,0.48
35,1.0,1.0,0.45,0.49
36,0.93,1.0,0.52,0.49
37,1.0,1.0,0.51,0.5
38,0.93,1.0,0.49,0.48
39,1.0,1.0,0.5,0.49
40,0.93,1.0,0.51,0.51
41,0.67,1.0,0.49,0.46
42,1.0,1.0,0.49,0.46
43,1.0,1.0,0.51,0.48
44,1.0,1.0,0.52,0.46
45,0.53,1.0,0.53,0.5
46,0.67,1.0,0.54,0.54
47,0.67,1.0,0.46,0.47
48,0.67,1.0,0.5,0.5
49,0.67,1.0,0.51,0.52
50,0.53,1.0,0.49,0.5
51,0.67,1.0,0.19,0.24
52,0.07,0.19,0.39,0.36
53,0.33,0.19,0.42,0.43
54,1.0,1.0,0.51,0.54
55,1.0,1.0,0.49,0.52
56,1.0,0.94,0.48,0.48
57,1.0,1.0,0.49,0.51
58,1.0,1.0,0.49,0.48
59,1.0,1.0,0.53,0.52
60,1.0,1.0,0.51,0.49
61,1.0,1.0,0.49,0.49
62,1.0,1.0,0.52,0.51
63,1.0,1.06,0.51,0.49
64,1.0,1.0,0.53,0.53
65,1.0,1.0,0.5,0.5
66,1.0,1.0,0.52,0.51
67,1.0,1.0,0.54,0.5
68,1.0,1.0,0.51,0.51
69,1.0,1.0,0.48,0.48
70,1.0,1.0,0.51,0.53
71,1.0,1.0,0.52,0.5
72,1.0,1.0,0.52,0.49
73,1.0,1.0,0.46,0.5
74,1.0,1.0,0.51,0.54
75,1.13,1.0,0.52,0.49
76,1.0,1.0,0.49,0.49
77,1.0,1.0,0.54,0.53
78,0.73,1.0,0.5,0.53
79,1.0,1.0,0.49,0.48
80,1.0,1.0,0.51,0.51
81,1.0,1.0,0.52,0.51
82,0.4,0.88,0.5,0.49
83,1.07,1.0,0.49,0.45
84,1.0,1.0,0.5,0.48
85,0.87,1.0,0.49,0.52
86,0.8,1.0,0.5,0.51
87,0.67,1.0,0.52,0.52
88,0.6,1.0,0.51,0.49
89,0.53,1.0,0.49,0.49
90,2.0,1.0,0.48,0.48
91,0.6,1.0,0.5,0.49
92,1.27,1.0,0.52,0.48
93,1.0,1.0,0.49,0.49
94,0.87,1.0,0.49,0.47
95,0.4,1.0,0.48,0.48
96,0.53,1.0,0.49,0.49
97,0.53,1.0,0.48,0.48
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
