"SampleRight,","LeftBump,","RightBump,","LeftSpd,",RightSpd
0,0.58,0.36,0.28,0.21
1,0.92,0.6,0.37,0.36
2,1.0,1.0,0.51,0.51
3,1.0,1.0,0.55,0.52
4,1.0,1.0,0.52,0.5
5,1.0,1.0,0.48,0.49
6,1.0,1.0,0.51,0.51
7,1.0,1.0,0.51,0.49
8,1.0,1.0,0.53,0.53
9,1.0,1.0,0.52,0.51
10,1.0,1.0,0.5,0.52
11,1.0,1.0,0.46,0.5
12,1.0,1.0,0.5,0.47
13,1.0,1.0,0.47,0.47
14,1.0,1.0,0.52,0.53
15,1.0,1.0,0.5,0.5
16,1.0,1.0,0.49,0.49
17,1.0,1.0,0.51,0.52
18,1.0,1.0,0.48,0.52
19,1.0,1.0,0.5,0.5
20,1.0,1.0,0.48,0.49
21,1.0,1.0,0.48,0.47
22,1.0,1.0,0.53,0.49
23,1.0,1.0,0.53,0.53
24,1.0,1.0,0.5,0.47
25,1.0,1.0,0.48,0.48
26,1.0,1.0,0.51,0.48
27,1.0,1.0,0.47,0.47
28,1.0,1.0,0.48,0.5
29,1.0,1.0,0.52,0.56
30,1.04,0.76,0.53,0.53
31,1.0,1.0,0.51,0.52
32,1.0,1.0,0.47,0.48
33,1.0,1.0,0.46,0.43
34,1.0,1.0,0.51,0.51
35,1.0,1.0,0.51,0.52
36,1.0,1.0,0.49,0.46
37,1.0,1.0,0.55,0.52
38,1.0,1.0,0.5,0.5
39,1.0,1.0,0.51,0.48
40,1.0,1.0,0.48,0.48
41,1.0,1.0,0.47,0.49
42,1.0,1.0,0.5,0.5
43,1.0,1.0,0.53,0.59
44,1.0,1.0,0.56,0.56
45,1.0,1.0,0.45,0.46
46,1.0,1.0,0.48,0.48
47,1.0,1.0,0.5,0.5
48,1.0,1.0,0.52,0.52
49,1.0,1.0,0.5,0.5
50,1.0,1.0,0.49,0.5
51,1.0,1.0,0.52,0.5
52,1.0,1.0,0.48,0.49
53,1.0,1.0,0.52,0.52
54,1.0,1.0,0.51,0.49
55,1.0,1.0,0.53,0.53
56,1.0,1.0,0.49,0.49
57,1.0,1.0,0.49,0.49
58,1.0,1.0,0.51,0.51
59,1.0,1.0,0.54,0.53
60,1.0,1.0,0.48,0.47
61,1.0,1.0,0.43,0.43
62,1.0,1.0,0.51,0.4
63,1.0,1.0,0.49,0.5
64,1.0,0.32,0.26,0.34
65,0.71,0.04,0.16,0.2
66,1.0,0.2,0.0,0.0
67,0.88,0.12,0.01,0.01
68,0.79,0.0,0.0,0.0
69,1.0,0.2,0.0,0.0
70,1.0,1.0,0.0,0.0
71,1.0,1.0,0.23,0.29
72,1.0,1.0,0.5,0.45
73,1.0,1.0,0.55,0.47
74,1.0,1.0,0.48,0.43
75,1.0,0.28,0.46,0.47
76,1.0,0.28,0.23,0.31
77,0.5,0.24,0.01,0.02
78,1.0,0.16,0.0,0.0
79,1.0,0.2,0.0,0.0
80,1.0,0.12,0.0,0.0
81,1.0,0.4,0.0,0.03
82,1.0,1.0,0.27,0.32
83,1.0,1.0,0.46,0.47
84,1.0,1.0,0.51,0.44
85,1.0,0.92,0.49,0.43
86,1.0,0.28,0.41,0.41
87,1.0,0.16,0.06,0.21
88,1.0,0.28,0.04,0.01
89,1.0,0.24,0.0,0.0
90,1.0,0.16,0.0,0.0
91,1.0,0.24,0.0,0.0
92,1.0,0.2,0.0,0.0
93,1.0,0.92,0.0,0.0
94,1.0,0.92,0.0,0.0
95,1.0,1.0,0.0,0.0
96,1.0,1.0,0.0,0.0
97,1.0,1.0,0.0,0.0
98,1.0,1.0,0.03,0.03
99,0.0,0.0,0.0,0.0
